DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo;;;;;
Casos Prováveis por Município infecção e Sexo;;;;;
Período:2015;;;;;
Município infecção;Em Branco;Ignorado;Masculino;Feminino;Total
110015 Ouro Preto do Oeste;-;-;-;1;1
110020 Porto Velho;-;-;3;1;4
110032 São Miguel do Guaporé;-;-;1;-;1
130260 Manaus;-;-;1;-;1
150140 Belém;-;-;1;1;2
150635 Santa Bárbara do Pará;-;-;-;1;1
150812 Ulianópolis;-;-;1;-;1
170070 Alvorada;-;-;2;-;2
170290 Axixá do Tocantins;-;-;1;-;1
172100 Palmas;-;-;-;2;2
210040 Altamira do Maranhão;-;-;-;1;1
210250 Cajari;-;-;1;-;1
210780 Parnarama;-;-;-;1;1
210955 Ribamar Fiquene;-;-;-;1;1
211130 São Luís;-;-;-;2;2
211140 São Luís Gonzaga do Maranhão;-;-;1;-;1
211220 Timon;-;-;-;1;1
220115 Baixa Grande do Ribeiro;-;-;1;-;1
220525 Jardim do Mulato;-;-;1;-;1
220700 Oeiras;-;-;-;1;1
221060 São Raimundo Nonato;-;-;-;1;1
221100 Teresina;-;-;2;1;3
230030 Acopiara;-;-;-;1;1
230060 Altaneira;-;-;1;-;1
230190 Barbalha;-;-;1;-;1
230410 Crateús;-;-;1;-;1
230440 Fortaleza;-;-;12;8;20
230460 General Sampaio;-;-;-;1;1
230550 Iguatu;-;-;2;-;2
230580 Ipu;-;-;1;-;1
230640 Itapipoca;-;-;-;1;1
230730 Juazeiro do Norte;-;-;1;1;2
230765 Maracanaú;-;-;1;-;1
230810 Mauriti;-;-;1;-;1
230900 Mucambo;-;-;-;1;1
231126 Quiterianópolis;-;-;-;1;1
231140 Quixeramobim;-;-;-;1;1
231290 Sobral;-;-;1;-;1
231350 Trairi;-;-;-;2;2
231410 Viçosa do Ceará;-;-;1;1;2
240570 Jardim do Seridó;-;-;-;1;1
240650 Lagoa Nova;-;-;1;-;1
240810 Natal;-;-;4;6;10
250010 Água Branca;-;-;-;1;1
250370 Cajazeiras;-;-;-;1;1
250660 Ibiara;-;-;-;1;1
250700 Itaporanga;-;-;1;-;1
250750 João Pessoa;-;-;3;8;11
250900 Manaíra;-;-;-;1;1
251080 Patos;-;-;-;1;1
251130 Piancó;-;-;-;2;2
251450 São José de Piranhas;-;-;-;1;1
251540 São Vicente do Seridó;-;-;-;1;1
251550 Serra Branca;-;-;1;1;2
251620 Sousa;-;-;-;1;1
260050 Águas Belas;-;-;-;1;1
260120 Arcoverde;-;-;-;1;1
260170 Belo Jardim;-;-;-;2;2
260220 Bom Jardim;-;-;1;-;1
260410 Caruaru;-;-;2;4;6
260430 Cedro;-;-;-;1;1
260510 Custódia;-;-;-;1;1
260530 Exu;-;-;1;-;1
260540 Feira Nova;-;-;-;1;1
260545 Fernando de Noronha;-;-;-;1;1
260600 Garanhuns;-;-;1;-;1
260620 Goiana;-;-;1;-;1
260720 Ipojuca;-;-;1;2;3
260770 Itapetim;-;-;-;1;1
260810 João Alfredo;-;-;-;1;1
260880 Lajedo;-;-;-;1;1
260960 Olinda;-;-;-;1;1
261090 Pesqueira;-;-;1;2;3
261160 Recife;-;-;12;10;22
261240 Sanharó;-;-;-;1;1
261300 São Bento do Una;-;-;1;1;2
261460 Tabira;-;-;-;1;1
261540 Toritama;-;-;-;1;1
261600 Venturosa;-;-;-;2;2
261620 Vertentes;-;-;1;-;1
261640 Vitória de Santo Antão;-;-;1;-;1
270030 Arapiraca;-;-;4;5;9
270320 Igreja Nova;-;-;1;-;1
270330 Inhapi;-;-;-;1;1
270430 Maceió;-;-;10;6;16
270440 Major Isidoro;-;-;-;1;1
270630 Palmeira dos Índios;-;-;1;1;2
270800 Santana do Ipanema;-;-;-;1;1
270860 São Miguel dos Campos;-;-;1;-;1
270880 São Sebastião;-;-;1;-;1
270930 União dos Palmares;-;-;1;-;1
280030 Aracaju;-;-;3;-;3
280290 Itabaiana;-;-;1;-;1
280300 Itabaianinha;-;-;1;-;1
280350 Lagarto;-;-;1;-;1
280460 Nossa Senhora das Dores;-;-;1;-;1
290070 Alagoinhas;-;-;1;-;1
290190 Aporá;-;-;1;-;1
290320 Barreiras;-;-;-;1;1
290410 Boquira;-;-;1;1;2
290420 Botuporã;-;-;1;-;1
290460 Brumado;-;-;1;-;1
290470 Buerarema;-;-;1;1;2
290520 Caetité;-;-;1;-;1
290540 Cairu;-;-;-;1;1
290980 Cruz das Almas;-;-;-;1;1
291060 Esplanada;-;-;-;1;1
291070 Euclides da Cunha;-;-;2;1;3
291080 Feira de Santana;-;-;3;4;7
291185 Heliópolis;-;-;-;1;1
291360 Ilhéus;-;-;-;6;6
291400 Ipirá;-;-;2;3;5
291470 Itaberaba;-;-;2;-;2
291480 Itabuna;-;-;1;-;1
291535 Itaguaçu da Bahia;-;-;-;1;1
291570 Itamari;-;-;1;-;1
291680 Itarantim;-;-;1;-;1
291800 Jequié;-;-;1;2;3
291980 Macaúbas;-;-;3;3;6
292130 Milagres;-;-;1;-;1
292150 Monte Santo;-;-;-;3;3
292340 Palmas de Monte Alto;-;-;1;-;1
292360 Paramirim;-;-;1;1;2
292450 Pindaí;-;-;1;-;1
292530 Porto Seguro;-;-;4;4;8
292690 Rio do Pires;-;-;1;1;2
292740 Salvador;-;-;9;13;22
293015 Serra do Ramalho;-;-;-;2;2
293135 Teixeira de Freitas;-;-;1;1;2
293230 Ubatã;-;-;1;-;1
293330 Vitória da Conquista;-;-;-;1;1
293360 Xique-Xique;-;-;1;1;2
310150 Além Paraíba;-;-;1;-;1
310160 Alfenas;-;-;3;1;4
310260 Andradas;-;-;-;2;2
310375 Araporã;-;-;-;1;1
310400 Araxá;-;-;-;1;1
310420 Arcos;-;-;1;1;2
310430 Areado;-;-;-;1;1
310490 Baependi;-;-;1;-;1
310560 Barbacena;-;-;-;1;1
310620 Belo Horizonte;-;-;11;9;20
310650 Berilo;-;-;-;1;1
310670 Betim;-;-;2;1;3
310710 Boa Esperança;-;-;1;-;1
310890 Brazópolis;-;-;1;-;1
310910 Bueno Brandão;-;-;-;1;1
310970 Cachoeira de Minas;-;-;1;-;1
311050 Camanducaia;-;-;1;1;2
311060 Cambuí;-;-;1;2;3
311070 Cambuquira;-;-;3;6;9
311130 Campo do Meio;-;-;1;-;1
311200 Candeias;-;-;1;-;1
311240 Capetinga;-;-;-;1;1
311400 Carmo da Mata;-;-;-;1;1
311430 Carmo do Paranaíba;-;-;1;-;1
311455 Carneirinho;-;-;1;2;3
311510 Cássia;-;-;3;-;3
311530 Cataguases;-;-;1;-;1
311640 Claraval;-;-;2;-;2
311730 Conceição das Alagoas;-;-;-;2;2
311770 Conceição do Rio Verde;-;-;1;-;1
311780 Conceição dos Ouros;-;-;3;1;4
311790 Congonhal;-;-;1;-;1
311860 Contagem;-;-;-;1;1
312120 Delfinópolis;-;-;4;2;6
312320 Dores do Indaiá;-;-;1;1;2
312410 Esmeraldas;-;-;-;1;1
312440 Espírito Santo do Dourado;-;-;2;-;2
312700 Fronteira;-;-;8;10;18
312710 Frutal;-;-;3;-;3
312738 Goianá;-;-;1;-;1
312740 Gonçalves;-;-;2;-;2
312870 Guaxupé;-;-;-;2;2
312970 Ibiraci;-;-;-;2;2
313010 Igarapé;-;-;1;-;1
313060 Inconfidentes;-;-;1;-;1
313230 Itaipé;-;-;1;-;1
313240 Itajubá;-;-;5;5;10
313310 Itanhandu;-;-;3;1;4
313360 Itapeva;-;-;-;1;1
313375 Itaú de Minas;-;-;-;1;1
313440 Iturama;-;-;2;-;2
313610 Joanésia;-;-;-;1;1
313670 Juiz de Fora;-;-;1;1;2
313720 Lagoa da Prata;-;-;1;1;2
313820 Lavras;-;-;3;2;5
313860 Lima Duarte;-;-;-;1;1
313862 Limeira do Oeste;-;-;2;-;2
313868 Luislândia;-;-;1;-;1
313900 Machado;-;-;-;3;3
314000 Mariana;-;-;1;-;1
314100 Mato Verde;-;-;1;-;1
314110 Matozinhos;-;-;1;-;1
314160 Mercês;-;-;-;1;1
314290 Monte Azul;-;-;-;1;1
314310 Monte Carmelo;-;-;-;1;1
314340 Monte Sião;-;-;1;5;6
314330 Montes Claros;-;-;1;-;1
314380 Munhoz;-;-;-;1;1
314390 Muriaé;-;-;1;1;2
314410 Muzambinho;-;-;2;3;5
314510 Nova Resende;-;-;1;-;1
314520 Nova Serrana;-;-;1;-;1
314550 Olímpio Noronha;-;-;-;1;1
314560 Oliveira;-;-;-;1;1
314600 Ouro Fino;-;-;-;2;2
314610 Ouro Preto;-;-;1;-;1
314710 Pará de Minas;-;-;1;-;1
314700 Paracatu;-;-;-;2;2
314730 Paraisópolis;-;-;2;-;2
314760 Passa Quatro;-;-;1;1;2
314790 Passos;-;-;3;2;5
314800 Patos de Minas;-;-;1;1;2
314810 Patrocínio;-;-;-;1;1
314870 Pedra Azul;-;-;1;-;1
315060 Piracema;-;-;-;1;1
315100 Piranguinho;-;-;-;1;1
315140 Pitangui;-;-;1;-;1
315150 Piumhi;-;-;1;-;1
315160 Planura;-;-;3;1;4
315180 Poços de Caldas;-;-;7;6;13
315250 Pouso Alegre;-;-;5;2;7
315280 Prata;-;-;1;-;1
315290 Pratápolis;-;-;1;-;1
315390 Raposos;-;-;1;-;1
315400 Raul Soares;-;-;2;-;2
315700 Salinas;-;-;1;-;1
315727 Santa Bárbara do Monte Verde;-;-;1;1;2
315765 Santa Helena de Minas;-;-;1;-;1
315990 Santo Antônio do Amparo;-;-;1;-;1
316200 São Gonçalo do Sapucaí;-;-;1;1;2
316220 São João Batista do Glória;-;-;1;-;1
316250 São João del Rei;-;-;1;-;1
316290 São João Nepomuceno;-;-;-;1;1
316320 São José do Alegre;-;-;-;1;1
316370 São Lourenço;-;-;1;1;2
316470 São Sebastião do Paraíso;-;-;-;1;1
316540 Sapucaí-Mirim;-;-;-;2;2
316650 Serra Azul de Minas;-;-;1;-;1
316720 Sete Lagoas;-;-;1;-;1
316860 Teófilo Otoni;-;-;1;1;2
316930 Três Corações;-;-;-;1;1
316990 Ubá;-;-;1;2;3
317010 Uberaba;-;-;5;6;11
317020 Uberlândia;-;-;7;6;13
317040 Unaí;-;-;1;1;2
317070 Varginha;-;-;1;-;1
317090 Varzelândia;-;-;-;1;1
317110 Veríssimo;-;-;-;1;1
317170 Virgínia;-;-;1;1;2
317210 Volta Grande;-;-;1;-;1
320130 Cariacica;-;-;1;-;1
320190 Domingos Martins;-;-;1;-;1
320240 Guarapari;-;-;1;-;1
320332 Marataízes;-;-;-;1;1
320350 Montanha;-;-;1;-;1
320410 Pinheiros;-;-;2;-;2
320490 São Mateus;-;-;1;-;1
320500 Serra;-;-;1;-;1
320520 Vila Velha;-;-;-;1;1
320530 Vitória;-;-;3;-;3
330010 Angra dos Reis;-;-;2;7;9
330023 Armação dos Búzios;-;-;-;1;1
330040 Barra Mansa;-;-;3;1;4
330070 Cabo Frio;-;-;-;1;1
330200 Itaguaí;-;-;1;-;1
330225 Itatiaia;-;-;-;2;2
330240 Macaé;-;-;1;-;1
330280 Mendes;-;-;1;-;1
330330 Niterói;-;-;-;1;1
330350 Nova Iguaçu;-;-;2;3;5
330380 Paraty;-;-;8;4;12
330390 Petrópolis;-;-;1;2;3
330420 Resende;-;-;22;17;39
330452 Rio das Ostras;-;-;1;-;1
330455 Rio de Janeiro;-;-;58;35;93
330460 Santa Maria Madalena;-;-;-;1;1
330555 Seropédica;-;-;-;1;1
330580 Teresópolis;-;-;1;-;1
330630 Volta Redonda;-;-;4;3;7
350010 Adamantina;-;-;480;671;1151
350020 Adolfo;-;-;49;66;115
350030 Aguaí;-;3;1141;1393;2537
350040 Águas da Prata;-;-;110;163;273
350050 Águas de Lindóia;-;-;49;54;103
350055 Águas de Santa Bárbara;-;-;8;12;20
350060 Águas de São Pedro;-;-;12;13;25
350070 Agudos;-;-;349;370;719
350075 Alambari;-;-;2;1;3
350080 Alfredo Marcondes;-;-;2;6;8
350090 Altair;-;-;32;31;63
350100 Altinópolis;-;-;31;44;75
350110 Alto Alegre;-;-;26;25;51
350115 Alumínio;-;-;69;87;156
350120 Álvares Florence;-;-;12;17;29
350130 Álvares Machado;-;-;98;94;192
350140 Álvaro de Carvalho;-;-;11;15;26
350150 Alvinlândia;-;-;-;2;2
350160 Americana;-;13;3513;3924;7450
350170 Américo Brasiliense;-;-;314;368;682
350180 Américo de Campos;-;-;28;38;66
350190 Amparo;-;6;3082;3484;6572
350200 Analândia;-;-;19;30;49
350210 Andradina;-;-;868;985;1853
350220 Angatuba;-;-;54;65;119
350230 Anhembi;-;-;47;64;111
350240 Anhumas;-;-;22;52;74
350250 Aparecida;-;-;742;868;1610
350260 Aparecida d'Oeste;-;-;65;103;168
350270 Apiaí;-;-;9;11;20
350275 Araçariguama;-;-;99;84;183
350280 Araçatuba;-;-;799;949;1748
350290 Araçoiaba da Serra;-;-;41;39;80
350300 Aramina;-;-;1;-;1
350310 Arandu;-;-;2;4;6
350315 Arapeí;-;-;25;32;57
350320 Araraquara;1;6;2342;2632;4981
350330 Araras;-;-;1189;1454;2643
350335 Arco-Íris;-;-;2;5;7
350340 Arealva;-;-;160;180;340
350350 Areias;-;-;2;1;3
350360 Areiópolis;-;1;230;241;472
350370 Ariranha;-;-;94;120;214
350380 Artur Nogueira;-;3;325;447;775
350390 Arujá;-;-;105;104;209
350395 Aspásia;-;-;11;19;30
350400 Assis;-;1;1984;2578;4563
350410 Atibaia;-;3;463;548;1014
350420 Auriflama;-;-;83;112;195
350430 Avaí;-;-;185;191;376
350440 Avanhandava;-;-;31;38;69
350450 Avaré;-;-;107;109;216
350460 Bady Bassitt;-;1;184;226;411
350470 Balbinos;-;-;9;6;15
350480 Bálsamo;-;-;147;180;327
350490 Bananal;-;-;85;90;175
350500 Barão de Antonina;-;-;2;2;4
350510 Barbosa;-;-;57;65;122
350520 Bariri;-;2;54;71;127
350530 Barra Bonita;-;-;28;38;66
350540 Barra do Turvo;-;-;2;4;6
350550 Barretos;-;-;361;434;795
350560 Barrinha;-;-;13;5;18
350570 Barueri;-;-;870;937;1807
